Time	x	y	z
0.0000000000	0.9092974295	0.4161468355	0.0000000000
0.0010010010	0.9093632672	0.4160029577	0.0000000000
0.0020020020	0.9095606696	0.4155712944	0.0000000000
0.0030030030	0.9098891989	0.4148517305	0.0000000000
0.0040040040	0.9103481199	0.4138440685	0.0000000000
0.0050050050	0.9109364039	0.4125480339	0.0000000000
0.0060060060	0.9116527281	0.4109632768	0.0000000000
0.0070070070	0.9124945137	0.4090889420	0.0000000000
0.0080080080	0.9134614562	0.4069252610	0.0000000000
0.0090090090	0.9145506633	0.4044713639	0.0000000000
0.0100100100	0.9157596386	0.4017266290	0.0000000000
0.0110110110	0.9170855925	0.3986903760	0.0000000000
0.0120120120	0.9185254436	0.3953618716	0.0000000000
0.0130130130	0.9200758179	0.3917403340	0.0000000000
0.0140140140	0.9217330505	0.3878249394	0.0000000000
0.0150150150	0.9234931855	0.3836148281	0.0000000000
0.0160160160	0.9253519772	0.3791091113	0.0000000000
0.0170170170	0.9273048909	0.3743068785	0.0000000000
0.0180180180	0.9293471040	0.3692072052	0.0000000000
0.0190190190	0.9314735071	0.3638091611	0.0000000000
0.0200200200	0.9336787057	0.3581118185	0.0000000000
0.0210210210	0.9359570219	0.3521142617	0.0000000000
0.0220220220	0.9383024958	0.3458155959	0.0000000000
0.0230230230	0.9407088883	0.3392149577	0.0000000000
0.0240240240	0.9431696828	0.3323115247	0.0000000000
0.0250250250	0.9456780885	0.3251045261	0.0000000000
0.0260260260	0.9482270430	0.3175932539	0.0000000000
0.0270270270	0.9508092156	0.3097770739	0.0000000000
0.0280280280	0.9534170112	0.3016554371	0.0000000000
0.0290290290	0.9560425741	0.2932278917	0.0000000000
0.0300300300	0.9586777926	0.2844940948	0.0000000000
0.0310310310	0.9613143036	0.2754538249	0.0000000000
0.0320320320	0.9639434981	0.2661069944	0.0000000000
0.0330330330	0.9665565267	0.2564536621	0.0000000000
0.0340340340	0.9691443058	0.2464940457	0.0000000000
0.0350350350	0.9716975245	0.2362285353	0.0000000000
0.0360360360	0.9742066515	0.2256577060	0.0000000000
0.0370370370	0.9766619427	0.2147823308	0.0000000000
0.0380380380	0.9790534499	0.2036033943	0.0000000000
0.0390390390	0.9813710291	0.1921221050	0.0000000000
0.0400400400	0.9836043500	0.1803399088	0.0000000000
0.0410410410	0.9857429059	0.1682585018	0.0000000000
0.0420420420	0.9877760245	0.1558798431	0.0000000000
0.0430430430	0.9896928785	0.1432061674	0.0000000000
0.0440440440	0.9914824976	0.1302399978	0.0000000000
0.0450450450	0.9931337810	0.1169841575	0.0000000000
0.0460460460	0.9946355100	0.1034417821	0.0000000000
0.0470470470	0.9959763618	0.0896163314	0.0000000000
0.0480480480	0.9971449234	0.0755116001	0.0000000000
0.0490490490	0.9981297069	0.0611317293	0.0000000000
0.0500500501	0.9989191642	0.0464812164	0.0000000000
0.0510510511	0.9995017036	0.0315649255	0.0000000000
0.0520520521	0.9998657062	0.0163880962	0.0000000000
0.0530530531	0.9999995427	0.0009563533	0.0000000000
0.0540540541	0.9998915919	-0.0147242861	0.0000000000
0.0550550551	0.9995302580	-0.0306474040	0.0000000000
0.0560560561	0.9989039904	-0.0468061754	0.0000000000
0.0570570571	0.9980013021	-0.0631933620	0.0000000000
0.0580580581	0.9968107902	-0.0798013068	0.0000000000
0.0590590591	0.9953211556	-0.0966219300	0.0000000000
0.0600600601	0.9935212237	-0.1136467248	0.0000000000
0.0610610611	0.9913999659	-0.1308667553	0.0000000000
0.0620620621	0.9889465203	-0.1482726547	0.0000000000
0.0630630631	0.9861502135	-0.1658546243	0.0000000000
0.0640640641	0.9830005831	-0.1836024338	0.0000000000
0.0650650651	0.9794873989	-0.2015054229	0.0000000000
0.0660660661	0.9756006859	-0.2195525033	0.0000000000
0.0670670671	0.9713307464	-0.2377321625	0.0000000000
0.0680680681	0.9666681826	-0.2560324683	0.0000000000
0.0690690691	0.9616039188	-0.2744410744	0.0000000000
0.0700700701	0.9561292244	-0.2929452276	0.0000000000
0.0710710711	0.9502357355	-0.3115317754	0.0000000000
0.0720720721	0.9439154777	-0.3301871759	0.0000000000
0.0730730731	0.9371608876	-0.3488975077	0.0000000000
0.0740740741	0.9299648346	-0.3676484821	0.0000000000
0.0750750751	0.9223206424	-0.3864254555	0.0000000000
0.0760760761	0.9142221094	-0.4052134434	0.0000000000
0.0770770771	0.9056635294	-0.4239971364	0.0000000000
0.0780780781	0.8966397112	-0.4427609156	0.0000000000
0.0790790791	0.8871459982	-0.4614888710	0.0000000000
0.0800800801	0.8771782862	-0.4801648199	0.0000000000
0.0810810811	0.8667330421	-0.4987723267	0.0000000000
0.0820820821	0.8558073198	-0.5172947240	0.0000000000
0.0830830831	0.8443987770	-0.5357151346	0.0000000000
0.0840840841	0.8325056901	-0.5540164944	0.0000000000
0.0850850851	0.8201269679	-0.5721815766	0.0000000000
0.0860860861	0.8072621652	-0.5901930165	0.0000000000
0.0870870871	0.7939114942	-0.6080333374	0.0000000000
0.0880880881	0.7800758355	-0.6256849774	0.0000000000
0.0890890891	0.7657567472	-0.6431303167	0.0000000000
0.0900900901	0.7509564733	-0.6603517058	0.0000000000
0.0910910911	0.7356779503	-0.6773314946	0.0000000000
0.0920920921	0.7199248129	-0.6940520614	0.0000000000
0.0930930931	0.7037013975	-0.7104958432	0.0000000000
0.0940940941	0.6870127450	-0.7266453662	0.0000000000
0.0950950951	0.6698646019	-0.7424832760	0.0000000000
0.0960960961	0.6522634193	-0.7579923693	0.0000000000
0.0970970971	0.6342163513	-0.7731556246	0.0000000000
0.0980980981	0.6157312508	-0.7879562341	0.0000000000
0.0990990991	0.5968166646	-0.8023776349	0.0000000000
0.1001001001	0.5774818265	-0.8164035400	0.0000000000
0.1011011011	0.5577366486	-0.8300179702	0.0000000000
0.1021021021	0.5375917111	-0.8432052847	0.0000000000
0.1031031031	0.5170582509	-0.8559502119	0.0000000000
0.1041041041	0.4961481481	-0.8682378794	0.0000000000
0.1051051051	0.4748739109	-0.8800538443	0.0000000000
0.1061061061	0.4532486595	-0.8913841218	0.0000000000
0.1071071071	0.4312861079	-0.9022152145	0.0000000000
0.1081081081	0.4090005442	-0.9125341390	0.0000000000
0.1091091091	0.3864068100	-0.9223284541	0.0000000000
0.1101101101	0.3635202779	-0.9315862857	0.0000000000
0.1111111111	0.3403568273	-0.9402963523	0.0000000000
0.1121121121	0.3169328199	-0.9484479889	0.0000000000
0.1131131131	0.2932650731	-0.9560311694	0.0000000000
0.1141141141	0.2693708322	-0.9630365283	0.0000000000
0.1151151151	0.2452677422	-0.9694553804	0.0000000000
0.1161161161	0.2209738174	-0.9752797404	0.0000000000
0.1171171171	0.1965074113	-0.9805023393	0.0000000000
0.1181181181	0.1718871842	-0.9851166408	0.0000000000
0.1191191191	0.1471320713	-0.9891168554	0.0000000000
0.1201201201	0.1222612494	-0.9924979531	0.0000000000
0.1211211211	0.0972941026	-0.9952556745	0.0000000000
0.1221221221	0.0722501880	-0.9973865401	0.0000000000
0.1231231231	0.0471492009	-0.9988878580	0.0000000000
0.1241241241	0.0220109395	-0.9997577299	0.0000000000
0.1251251251	-0.0031447310	-0.9999950553	0.0000000000
0.1261261261	-0.0282979139	-0.9995995339	0.0000000000
0.1271271271	-0.0534287170	-0.9985716660	0.0000000000
0.1281281281	-0.0785172886	-0.9969127521	0.0000000000
0.1291291291	-0.1035438530	-0.9946248894	0.0000000000
0.1301301301	-0.1284887459	-0.9917109671	0.0000000000
0.1311311311	-0.1533324503	-0.9881746605	0.0000000000
0.1321321321	-0.1780556306	-0.9840204228	0.0000000000
0.1331331331	-0.2026391675	-0.9792534747	0.0000000000
0.1341341341	-0.2270641913	-0.9738797939	0.0000000000
0.1351351351	-0.2513121153	-0.9679061012	0.0000000000
0.1361361361	-0.2753646679	-0.9613398461	0.0000000000
0.1371371371	-0.2992039244	-0.9541891907	0.0000000000
0.1381381381	-0.3228123369	-0.9464629920	0.0000000000
0.1391391391	-0.3461727643	-0.9381707826	0.0000000000
0.1401401401	-0.3692685008	-0.9293227503	0.0000000000
0.1411411411	-0.3920833028	-0.9199297167	0.0000000000
0.1421421421	-0.4146014152	-0.9100031135	0.0000000000
0.1431431431	-0.4368075960	-0.8995549589	0.0000000000
0.1441441441	-0.4586871400	-0.8885978323	0.0000000000
0.1451451451	-0.4802259007	-0.8771448480	0.0000000000
0.1461461461	-0.5014103107	-0.8652096280	0.0000000000
0.1471471471	-0.5222274012	-0.8528062743	0.0000000000
0.1481481481	-0.5426648196	-0.8399493399	0.0000000000
0.1491491491	-0.5627108452	-0.8266537998	0.0000000000
0.1501501502	-0.5823544042	-0.8129350207	0.0000000000
0.1511511512	-0.6015850822	-0.7988087311	0.0000000000
0.1521521522	-0.6203931359	-0.7842909900	0.0000000000
0.1531531532	-0.6387695025	-0.7693981561	0.0000000000
0.1541541542	-0.6567058082	-0.7541468567	0.0000000000
0.1551551552	-0.6741943742	-0.7385539559	0.0000000000
0.1561561562	-0.6912282220	-0.7226365235	0.0000000000
0.1571571572	-0.7078010763	-0.7064118037	0.0000000000
0.1581581582	-0.7239073672	-0.6898971834	0.0000000000
0.1591591592	-0.7395422301	-0.6731101618	0.0000000000
0.1601601602	-0.7547015042	-0.6560683193	0.0000000000
0.1611611612	-0.7693817299	-0.6387892874	0.0000000000
0.1621621622	-0.7835801442	-0.6212907190	0.0000000000
0.1631631632	-0.7972946755	-0.6035902587	0.0000000000
0.1641641642	-0.8105239357	-0.5857055145	0.0000000000
0.1651651652	-0.8232672122	-0.5676540295	0.0000000000
