Time	x	y	z
0.0000000000	0.909	0.416	0.000
0.0010010010	0.909	0.416	0.000
0.0020020020	0.910	0.416	0.000
0.0030030030	0.910	0.415	0.000
0.0040040040	0.910	0.414	0.000
0.0050050050	0.911	0.413	0.000
0.0060060060	0.912	0.411	0.000
0.0070070070	0.912	0.409	0.000
0.0080080080	0.913	0.407	0.000
0.0090090090	0.915	0.404	0.000
0.0100100100	0.916	0.402	0.000
0.0110110110	0.917	0.399	0.000
0.0120120120	0.919	0.395	0.000
0.0130130130	0.920	0.392	0.000
0.0140140140	0.922	0.388	0.000
0.0150150150	0.923	0.384	0.000
0.0160160160	0.925	0.379	0.000
0.0170170170	0.927	0.374	0.000
0.0180180180	0.929	0.369	0.000
0.0190190190	0.931	0.364	0.000
0.0200200200	0.934	0.358	0.000
0.0210210210	0.936	0.352	0.000
0.0220220220	0.938	0.346	0.000
0.0230230230	0.941	0.339	0.000
0.0240240240	0.943	0.332	0.000
0.0250250250	0.946	0.325	0.000
0.0260260260	0.948	0.318	0.000
0.0270270270	0.951	0.310	0.000
0.0280280280	0.953	0.302	0.000
0.0290290290	0.956	0.293	0.000
0.0300300300	0.959	0.284	0.000
0.0310310310	0.961	0.275	0.000
0.0320320320	0.964	0.266	0.000
0.0330330330	0.967	0.256	0.000
0.0340340340	0.969	0.246	0.000
0.0350350350	0.972	0.236	0.000
0.0360360360	0.974	0.226	0.000
0.0370370370	0.977	0.215	0.000
0.0380380380	0.979	0.204	0.000
0.0390390390	0.981	0.192	0.000
0.0400400400	0.984	0.180	0.000
0.0410410410	0.986	0.168	0.000
0.0420420420	0.988	0.156	0.000
0.0430430430	0.990	0.143	0.000
0.0440440440	0.991	0.130	0.000
0.0450450450	0.993	0.117	0.000
0.0460460460	0.995	0.103	0.000
0.0470470470	0.996	0.090	0.000
0.0480480480	0.997	0.076	0.000
0.0490490490	0.998	0.061	0.000
0.0500500501	0.999	0.046	0.000
0.0510510511	1.000	0.032	0.000
0.0520520521	1.000	0.016	0.000
0.0530530531	1.000	0.001	0.000
0.0540540541	1.000	-0.015	0.000
0.0550550551	1.000	-0.031	0.000
0.0560560561	0.999	-0.047	0.000
0.0570570571	0.998	-0.063	0.000
0.0580580581	0.997	-0.080	0.000
0.0590590591	0.995	-0.097	0.000
0.0600600601	0.994	-0.114	0.000
0.0610610611	0.991	-0.131	0.000
0.0620620621	0.989	-0.148	0.000
0.0630630631	0.986	-0.166	0.000
0.0640640641	0.983	-0.184	0.000
0.0650650651	0.979	-0.202	0.000
0.0660660661	0.976	-0.220	0.000
0.0670670671	0.971	-0.238	0.000
0.0680680681	0.967	-0.256	0.000
0.0690690691	0.962	-0.274	0.000
0.0700700701	0.956	-0.293	0.000
0.0710710711	0.950	-0.312	0.000
0.0720720721	0.944	-0.330	0.000
0.0730730731	0.937	-0.349	0.000
0.0740740741	0.930	-0.368	0.000
0.0750750751	0.922	-0.386	0.000
0.0760760761	0.914	-0.405	0.000
0.0770770771	0.906	-0.424	0.000
0.0780780781	0.897	-0.443	0.000
0.0790790791	0.887	-0.461	0.000
0.0800800801	0.877	-0.480	0.000
0.0810810811	0.867	-0.499	0.000
0.0820820821	0.856	-0.517	0.000
0.0830830831	0.844	-0.536	0.000
0.0840840841	0.833	-0.554	0.000
0.0850850851	0.820	-0.572	0.000
0.0860860861	0.807	-0.590	0.000
0.0870870871	0.794	-0.608	0.000
0.0880880881	0.780	-0.626	0.000
0.0890890891	0.766	-0.643	0.000
0.0900900901	0.751	-0.660	0.000
0.0910910911	0.736	-0.677	0.000
0.0920920921	0.720	-0.694	0.000
0.0930930931	0.704	-0.710	0.000
0.0940940941	0.687	-0.727	0.000
0.0950950951	0.670	-0.742	0.000
0.0960960961	0.652	-0.758	0.000
0.0970970971	0.634	-0.773	0.000
0.0980980981	0.616	-0.788	0.000
0.0990990991	0.597	-0.802	0.000
0.1001001001	0.577	-0.816	0.000
0.1011011011	0.558	-0.830	0.000
0.1021021021	0.538	-0.843	0.000
0.1031031031	0.517	-0.856	0.000
0.1041041041	0.496	-0.868	0.000
0.1051051051	0.475	-0.880	0.000
0.1061061061	0.453	-0.891	0.000
0.1071071071	0.431	-0.902	0.000
0.1081081081	0.409	-0.913	0.000
0.1091091091	0.386	-0.922	0.000
0.1101101101	0.364	-0.932	0.000
0.1111111111	0.340	-0.940	0.000
0.1121121121	0.317	-0.948	0.000
0.1131131131	0.293	-0.956	0.000
0.1141141141	0.269	-0.963	0.000
0.1151151151	0.245	-0.969	0.000
0.1161161161	0.221	-0.975	0.000
0.1171171171	0.197	-0.981	0.000
0.1181181181	0.172	-0.985	0.000
0.1191191191	0.147	-0.989	0.000
0.1201201201	0.122	-0.992	0.000
0.1211211211	0.097	-0.995	0.000
0.1221221221	0.072	-0.997	0.000
0.1231231231	0.047	-0.999	0.000
0.1241241241	0.022	-1.000	0.000
0.1251251251	-0.003	-1.000	0.000
0.1261261261	-0.028	-1.000	0.000
0.1271271271	-0.053	-0.999	0.000
0.1281281281	-0.079	-0.997	0.000
0.1291291291	-0.104	-0.995	0.000
0.1301301301	-0.128	-0.992	0.000
0.1311311311	-0.153	-0.988	0.000
0.1321321321	-0.178	-0.984	0.000
0.1331331331	-0.203	-0.979	0.000
0.1341341341	-0.227	-0.974	0.000
0.1351351351	-0.251	-0.968	0.000
0.1361361361	-0.275	-0.961	0.000
0.1371371371	-0.299	-0.954	0.000
0.1381381381	-0.323	-0.946	0.000
0.1391391391	-0.346	-0.938	0.000
0.1401401401	-0.369	-0.929	0.000
0.1411411411	-0.392	-0.920	0.000
0.1421421421	-0.415	-0.910	0.000
0.1431431431	-0.437	-0.900	0.000
0.1441441441	-0.459	-0.889	0.000
0.1451451451	-0.480	-0.877	0.000
0.1461461461	-0.501	-0.865	0.000
0.1471471471	-0.522	-0.853	0.000
0.1481481481	-0.543	-0.840	0.000
0.1491491491	-0.563	-0.827	0.000
0.1501501502	-0.582	-0.813	0.000
0.1511511512	-0.602	-0.799	0.000
0.1521521522	-0.620	-0.784	0.000
0.1531531532	-0.639	-0.769	0.000
0.1541541542	-0.657	-0.754	0.000
0.1551551552	-0.674	-0.739	0.000
0.1561561562	-0.691	-0.723	0.000
0.1571571572	-0.708	-0.706	0.000
0.1581581582	-0.724	-0.690	0.000
0.1591591592	-0.740	-0.673	0.000
0.1601601602	-0.755	-0.656	0.000
0.1611611612	-0.769	-0.639	0.000
0.1621621622	-0.784	-0.621	0.000
0.1631631632	-0.797	-0.604	0.000
0.1641641642	-0.811	-0.586	0.000
0.1651651652	-0.823	-0.568	0.000
0.1661661662	-0.836	-0.549	0.000
0.1671671672	-0.847	-0.531	0.000
0.1681681682	-0.859	-0.513	0.000
0.1691691692	-0.869	-0.494	0.000
0.1701701702	-0.880	-0.476	0.000
0.1711711712	-0.890	-0.457	0.000
0.1721721722	-0.899	-0.438	0.000
0.1731731732	-0.908	-0.419	0.000
0.1741741742	-0.916	-0.401	0.000
0.1751751752	-0.924	-0.382	0.000
0.1761761762	-0.932	-0.363	0.000
0.1771771772	-0.939	-0.344	0.000
0.1781781782	-0.946	-0.326	0.000
0.1791791792	-0.952	-0.307	0.000
0.1801801802	-0.958	-0.288	0.000
0.1811811812	-0.963	-0.270	0.000
0.1821821822	-0.968	-0.251	0.000
0.1831831832	-0.972	-0.233	0.000
0.1841841842	-0.977	-0.215	0.000
0.1851851852	-0.980	-0.197	0.000
0.1861861862	-0.984	-0.179	0.000
0.1871871872	-0.987	-0.161	0.000
0.1881881882	-0.990	-0.144	0.000
0.1891891892	-0.992	-0.127	0.000
0.1901901902	-0.994	-0.109	0.000
0.1911911912	-0.996	-0.092	0.000
0.1921921922	-0.997	-0.076	0.000
0.1931931932	-0.998	-0.059	0.000
0.1941941942	-0.999	-0.043	0.000
0.1951951952	-1.000	-0.027	0.000
0.1961961962	-1.000	-0.011	0.000
0.1971971972	-1.000	0.005	0.000
0.1981981982	-1.000	0.020	0.000
0.1991991992	-0.999	0.035	0.000
0.2002002002	-0.999	0.050	0.000
0.2012012012	-0.998	0.065	0.000
0.2022022022	-0.997	0.079	0.000
0.2032032032	-0.996	0.093	0.000
0.2042042042	-0.994	0.107	0.000
0.2052052052	-0.993	0.120	0.000
0.2062062062	-0.991	0.134	0.000
0.2072072072	-0.989	0.146	0.000
0.2082082082	-0.987	0.159	0.000
0.2092092092	-0.985	0.171	0.000
0.2102102102	-0.983	0.183	0.000
0.2112112112	-0.981	0.195	0.000
0.2122122122	-0.978	0.206	0.000
0.2132132132	-0.976	0.218	0.000
0.2142142142	-0.974	0.228	0.000
0.2152152152	-0.971	0.239	0.000
0.2162162162	-0.969	0.249	0.000
0.2172172172	-0.966	0.259	0.000
0.2182182182	-0.963	0.268	0.000
0.2192192192	-0.961	0.278	0.000
0.2202202202	-0.958	0.287	0.000
0.2212212212	-0.955	0.295	0.000
0.2222222222	-0.953	0.304	0.000
0.2232232232	-0.950	0.312	0.000
0.2242242242	-0.948	0.319	0.000
0.2252252252	-0.945	0.327	0.000
0.2262262262	-0.943	0.334	0.000
0.2272272272	-0.940	0.341	0.000
0.2282282282	-0.938	0.347	0.000
0.2292292292	-0.935	0.354	0.000
0.2302302302	-0.933	0.360	0.000
0.2312312312	-0.931	0.365	0.000
0.2322322322	-0.929	0.371	0.000
0.2332332332	-0.927	0.376	0.000
0.2342342342	-0.925	0.380	0.000
0.2352352352	-0.923	0.385	0.000
0.2362362362	-0.921	0.389	0.000
0.2372372372	-0.920	0.393	0.000
0.2382382382	-0.918	0.396	0.000
0.2392392392	-0.917	0.399	0.000
0.2402402402	-0.915	0.402	0.000
0.2412412412	-0.914	0.405	0.000
0.2422422422	-0.913	0.407	0.000
0.2432432432	-0.912	0.410	0.000
0.2442442442	-0.911	0.411	0.000
0.2452452452	-0.911	0.413	0.000
0.2462462462	-0.910	0.414	0.000
0.2472472472	-0.910	0.415	0.000
0.2482482482	-0.909	0.416	0.000
0.2492492492	-0.909	0.416	0.000
